"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"GAA24WA104","INC","193874","2024-02-24T17:50:00Z","Hampshire","Other Foreign","United Kingdom",,"G-BSZW","152-81072","false","Aviation","",,,,,,,,,,,,"CESSNA","152","AIR",,,"false",,,,,"NUSN","Minor",,,"Enroute","N/A",,"Prelim","","None"
"ERA24FA120","ACC","193833","2024-02-24T13:40:00Z","Jackson","Ohio","United States",,"N8963N","32-40774","false","Aviation","",,,"Fatal","3","0","0",,,,"38.996098000000003","-82.573319999999995","PIPER","PA32","AIR","JRO","JAMES A RHODES","false","1",,,"PERS","091","Destroyed","IMC",,"Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193833/pdf"
"ERA24LA122","ACC","193843","2024-02-24T12:00:00Z","Cape Coral","Florida","United States",,"N282SV","98-301026","false","Aviation","",,,"None","0","0","0",,,,"26.728683","-81.952315999999996","BELLANCA","17-30A","AIR","94FL","PINE SHADOWS AIRPARK","false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193843/pdf"
"DCA24WA119","INC","193888","2024-02-23T19:08:00Z","Lungga","Other Foreign","St Pierre And Miquelon",,"VH-UYI",,"false","Aviation","",,,,,,,,,,"-9.4252459999999996","160.038308","EMBRAER","ERJ190","AIR",,,"false","2",,,,"NUSC","None",,,"Initial Climb","N/A",,"Prelim","","None"
"CEN24LA122","ACC","193837","2024-02-23T17:48:00Z","Tulsa","Oklahoma","United States",,"N3645W","32-549","false","Aviation","",,,,,,,,,,"36.038905","-95.984019000000004","PIPER","PA32","AIR","RVS",,"false","1",,,"PERS","091","Unknown","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193837/pdf"
"WPR24LA102","ACC","193885","2024-02-23T10:45:00Z","Truth or Consequences","New Mexico","United States",,"N2669K","5396","false","Aviation","",,,"Minor","0","0","1",,,,"33.235360999999997","-107.26988","LUSCOMBE","8E","AIR","TCS","TRUTH OR CONSEQUENCES MUNI","false","1",,,"PERS","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193885/pdf"
"WPR24LA093","ACC","193831","2024-02-23T09:40:00Z","Garey","California","United States",,"N2618W","6580","false","Aviation","",,,"Minor","0","0","1",,,,"34.894958000000003","-120.32216","BELL","47G-3B-1","HELI",,,"false","1",,,"AAPL","137","Substantial","VMC","ENGLISH AIR SERVICE LLC","Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193831/pdf"
"CEN24LA119","ACC","193830","2024-02-22T20:02:00Z","Sextonville","Wisconsin","United States",,"N750WW","75-10750","false","Aviation","",,,"Serious","0","1","0",,,,"43.298299999999998","-90.302300000000002","ZENITH","STOL CH750","AIR","93C","RICHLAND","true","1",,,"PERS","091","Substantial","VMC",,"Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193830/pdf"
"WPR24LA094","ACC","193832","2024-02-22T18:30:00Z","Valley Springs","California","United States",,"N1611E","7AC-5176","false","Aviation","",,,"Minor","0","0","1",,,,"38.169615","-120.7559","AERONCA","7AC","AIR",,,"false","1",,,"PERS","091","Substantial",,,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193832/pdf"
"WPR24LA098","ACC","193862","2024-02-22T15:25:00Z","Weippe","Idaho","United States",,"N6323B","34223","false","Aviation","",,,"None","0","0","0",,,,"46.350675000000003","-115.977","CESSNA","182A","AIR","3ID2","THE LAST RESORT","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193862/pdf"
"DCA24WA107","INC","193844","2024-02-21T20:29:00Z","Tapachula",,"Mexico",,"XA-ADU, N421RN","421C0263","false","Aviation","",,,,,,,,,,,,"BOEING, CESSNA","737, 421C","AIR, AIR",,,"false, false","2",,,,"NUSC, UNK","None, None",,,"Unknown","N/A",,"Prelim","","None"
